R_escape_Rsun,quantile,final_unbinding_log10_s,validated_escape_log10_s,validated_minus_final_dex
2.0,0.1,1.595948233786109,2.9451069507984045,1.3491587170122954
2.0,0.25,2.1426506975341937,3.091586869131849,0.9489361715976554
2.0,0.5,2.757985967672781,3.302696198152105,0.5447102304793239
2.0,0.75,4.003397751771326,4.055881180638359,0.052483428867033055
2.0,0.9,4.847503349643809,4.853787032000616,0.006283682356807319
2.0,0.95,5.368072496377356,5.371723085845627,0.003650589468271015
2.0,0.99,6.477510658652973,6.477705301354572,0.00019464270159907926
3.0,0.1,1.606065175102662,3.0739329945777603,1.4678678194750983
3.0,0.25,2.1413177222634356,3.227679654839694,1.0863619325762586
3.0,0.5,2.771086282823627,3.4605429845674736,0.6894567017438464
3.0,0.75,4.014682465625704,4.0959141670940875,0.08123170146838365
3.0,0.9,4.887474133448587,4.8979061643668595,0.010432030918272162
3.0,0.95,5.402512453207065,5.405730486760694,0.0032180335536287075
3.0,0.99,6.496391651593912,6.4965850570191535,0.00019340542524126647
5.0,0.1,1.6250040512486883,3.2320568686118265,1.6070528173631382
5.0,0.25,2.1582818537966033,3.401673362545714,1.2433915087491108
5.0,0.5,2.765380342395768,3.6645730415281146,0.8991926991323465
5.0,0.75,4.019609870685775,4.147472309879229,0.1278624391934544
5.0,0.9,4.892857554080254,4.919262087618796,0.026404533538541664
5.0,0.95,5.407679946243421,5.416077893069895,0.008397946826473657
5.0,0.99,6.512662981261823,6.512902885266403,0.00023990400458018257
