interpolation_points,quantile,mean_shift_dex,shift_range_dex
0,0.01,0.02960912502315745,0.0248329541;0.0337965435
0,0.05,-0.004230324458262065,-0.0168570529;0.0204316682
0,0.1,-0.015548900915021887,-0.0280873499;-0.000104428501
0,0.25,-0.010628719336691775,-0.032819134;0.00204830254
0,0.5,-0.013291683640460702,-0.0378590059;0.00116218627
0,0.75,-0.029155677483194847,-0.0596571724;-0.00793102407
0,0.9,-0.03965708950385031,-0.0798619465;0.00463551173
0,0.95,-0.04385001283574752,-0.0604765184;-0.0153750169
0,0.99,-0.21655774102226655,-0.272973511;-0.141672914
20,0.01,-0.10865273675991549,-0.165220703;-0.0758455419
20,0.05,-0.1132834328766712,-0.125379409;-0.0926881149
20,0.1,-0.18956169943678422,-0.20989959;-0.178945138
20,0.25,-0.1817865089479979,-0.207223504;-0.151859988
20,0.5,-0.13462754860542572,-0.154827921;-0.120142029
20,0.75,-0.11365035417532295,-0.130581646;-0.102776864
20,0.9,-0.11651436881615791,-0.123715217;-0.106727816
20,0.95,-0.11844415793409535,-0.15173164;-0.0821970273
20,0.99,-0.28144907926137464,-0.359976929;-0.163014555
1000,0.01,0.0330896251681824,0.0216005511;0.0556695336
1000,0.05,-0.005742316654982445,-0.02623605;0.0201704443
1000,0.1,-0.01323111107379038,-0.0302998537;-0.000526256426
1000,0.25,-0.011742048644270309,-0.0340543948;0.000367594628
1000,0.5,-0.014868338414818716,-0.0418767185;0.00143343745
1000,0.75,-0.027063324446208625,-0.0505044131;-0.0134304794
1000,0.9,-0.04346444411902498,-0.0862643927;0.00671768398
1000,0.95,-0.05065158155174595,-0.0689823678;-0.0286462437
1000,0.99,-0.22933073897155776,-0.27246307;-0.183778002
2000,0.01,0.035851360764807806,0.0317507656;0.0432428795
2000,0.05,0.0005668837605678304,-0.0121760904;0.0204469902
2000,0.1,-0.010134157535251376,-0.0261755684;-0.00205062727
2000,0.25,-0.009250216778350437,-0.029387623;0.00255308329
2000,0.5,-0.013215034423749827,-0.0374371257;0.001478766
2000,0.75,-0.02690969455053427,-0.0521540895;-0.0112493434
2000,0.9,-0.041094998045158405,-0.0825782657;0.0115632237
2000,0.95,-0.047378008924996586,-0.0789572222;-0.0199166711
2000,0.99,-0.21392369579257528,-0.314294623;-0.133205659
