label,n_complete,reference_n_complete,duplicate_rank_trajectory_keys,peak_log10_s,reference_peak_log10_s,mode_fractions,reference_mode_fractions,mode_boundaries_log10_s,ks_d,ks_p_value,ks_location_log10_s,mean_scatterings_all_simulated,mean_scatterings_completed,numerical_failure_count,numerical_failure_rate,captured_invalid_rows,captured_invalid_fraction,interpolation_points,base_seed,mpi_size,git_commit,git_dirty,run_file,reference_file
C-g0-s20260722-r4,9961,10081,0,2.17329545;4.20170455,2.15394737;4.16710526,0.12819998;0.87180002,0.129451443;0.870548557,2.76988636,0.007943378740623785,0.9074377653799119,4.453298515718317,0.242275964544,3.830438710972794,199,0.0007283027982930632,47,0.004696243005595523,0,20260722,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_0000_seed_20260722_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g0-s20260723-r4,9958,10081,0,2.16090426;4.07579787,2.15394737;4.16710526,0.133661378;0.866338622,0.129451443;0.870548557,2.75930851,0.023890738881299667,0.0064585931951638646,4.556313830216488,0.244576961902,3.811106647921269,186,0.0006954050921598683,48,0.004797121726963821,0,20260723,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_0000_seed_20260723_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g0-s20260724-r4,9975,10081,0,2.20180723;4.25,2.15394737;4.16710526,0.129022556;0.870977444,0.129451443;0.870548557,2.80421687,0.010072149921475648,0.6852298060929032,4.442441055457743,0.242592754129,3.83468671679198,179,0.0006505873458943941,43,0.004292273906967459,0,20260724,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_0000_seed_20260724_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g20-s20260722-r4,10000,10081,0,2.16527778;4.07638889,2.15394737;4.16710526,0.1592;0.8408,0.129451443;0.870548557,2.7625,0.05860205336772145,1.990939587792085e-15,4.110111290542591,0.305333213013,3.9428,178,0.0008031403690836078,26,0.002593257530420906,20,20260722,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_0020_seed_20260722_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g20-s20260723-r4,9984,10081,0,2.19868421;4.00394737,2.15394737;4.16710526,0.174278846;0.825721154,0.129451443;0.870548557,2.84342105,0.06907150041395466,2.9777914156749213e-21,3.8702930446576187,0.302455839942,3.914563301282051,146,0.0006578947368421052,21,0.002098950524737631,20,20260723,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_0020_seed_20260723_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g20-s20260724-r4,9990,10081,0,2.16527778;4.07638889,2.15394737;4.16710526,0.158258258;0.841741742,0.129451443;0.870548557,2.7625,0.05439002140718241,2.418110031716363e-13,3.9447921960480086,0.303384064458,3.9395395395395396,148,0.0006624888093106536,24,0.002396644697423607,20,20260724,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_0020_seed_20260724_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g1000-s20260722-r4,9967,10081,0,2.20180723;4.12951807,2.15394737;4.16710526,0.12852413;0.87147587,0.129451443;0.870548557,2.80421687,0.007933680401350673,0.9080719954521493,4.441654245023805,0.242997196313,3.838667603090198,182,0.000667020945190669,40,0.00399720195862896,1000,20260722,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_1000_seed_20260722_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g1000-s20260723-r4,9960,10081,0,2.16090426;4.07579787,2.15394737;4.16710526,0.13373494;0.86626506,0.129451443;0.870548557,2.75930851,0.025026532078119,0.003698103852037605,4.444796890882965,0.244523827336,3.808132530120482,157,0.000587267150445126,40,0.004,1000,20260723,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_1000_seed_20260723_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g1000-s20260724-r4,9972,10081,0,2.20441176;4.25441176,2.15394737;4.16710526,0.129462495;0.870537505,0.129451443;0.870548557,2.80735294,0.010357510104773926,0.6513113767313478,4.444605449720586,0.242711768174,3.8366425992779782,181,0.0006587615283267457,41,0.004094676920003995,1000,20260724,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_1000_seed_20260724_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g2000-s20260722-r4,9982,10081,0,2.20441176;4.13382353,2.15394737;4.16710526,0.127429373;0.872570627,0.129451443;0.870548557,2.80735294,0.008312204304818382,0.8759285095505571,4.821455566248424,0.242555430125,3.835704267681827,185,0.0006758657474892501,38,0.0037924151696606787,2000,20260722,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_2000_seed_20260722_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g2000-s20260723-r4,9976,10081,0,2.27717391;4.07065217,2.15394737;4.16710526,0.133420209;0.866579791,0.129451443;0.870548557,2.75543478,0.023576770739209718,0.0074673126369826925,4.5443793296266275,0.244615424878,3.8151563753007216,155,0.0005794890775655477,31,0.003097831517937444,2000,20260723,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_2000_seed_20260723_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
C-g2000-s20260724-r4,9969,10081,0,2.17934783;4.21195652,2.15394737;4.16710526,0.128598656;0.871401344,0.129451443;0.870548557,2.77717391,0.01062451421049937,0.6195840968609889,4.441753739876023,0.242528626926,3.8360918848430132,176,0.000640195550640923,39,0.0038968824940047962,2000,20260724,4,d084214,False,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_c_controls/c_grid_2000_seed_20260724_r4/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
