failure_rank	failure_trajectory_id	failure_censor_duration_s	failure_log10_censor_duration_s	failure_scatter_count	failure_max_scaled_energy_drift	success_rank	success_trajectory_id	success_validated_lifetime_s	success_log10_lifetime_s	success_scatter_count	absolute_log10_duration_difference	within_0p25_dex
2	52980	2045.270055540441	3.310750659965693	1	2.96581524320859247e+00	3	11323	2.04491853971269984e+03	3.3106760123639454	4	7.464760174746843e-05	1
1	11239	2223.129044752509	3.346964672684299	2	9.84865238025203524e+01	2	22769	2.22329625484810231e+03	3.346997336416163	2	3.266373186372462e-05	1
0	55598	2227.434943746541	3.3478050285407934	1	1.71549905012625836e+00	0	37639	2.22690883106892124e+03	3.3477024375216162	2	0.00010259101917720059	1
1	25923	2333.6356850102643	3.3680330572195003	1	2.41428588003304583e+01	1	24918	2.33399598633668347e+03	3.3681001048741632	2	6.704765466292173e-05	1
2	43112	735359.7022230454	5.8664998268087665	5	4.20348119026770384e+00	0	26042	7.37713162572966656e+05	5.8678875323831585	7	0.0013877055743920508	1
2	6696	252878221.03025433	8.402911427629602	1	1.19029573959278756e+00	0	51863	2.53560703176996052e+08	8.40408194749127	3	0.001170519861666719	1
3	31890	478920636.5407078	8.680263551059438	1	1.29971273236990781e+00	2	34051	4.90973721828730404e+08	8.69105824819184	2	0.01079469713240222	1
2	42467	684064991.3591222	8.835097364947869	1	1.00020084037642154e+00	0	22504	2.84086042323270202e+08	8.45344989654978	2	0.3816474683980893	0
2	36898	724263884.2281954	8.859896829434508	2	1.39589781483075481e+00	1	43555	2.60417168200505704e+08	8.415669612035039	5	0.4442272173994688	0
1	18586	747070657.027609	8.87336167879804	1	1.03218817295385268e+00	3	7978	2.43070872833059072e+09	9.385732920481525	5	0.5123712416834856	0
2	45464	767253430.7426287	8.884938839038382	4	1.06229651424863381e+00	3	23767	2.27777465609118015e+08	8.35751075641693	6	0.5274280826214515	0
0	6081	819557672.5627049	8.913579520437867	1	1.03343112166706308e+00	3	16149	2.26999432442388952e+08	8.35602477134534	4	0.5575547490925281	0
3	35660	1048050712.2938917	9.020382297472661	1	1.04792041141013792e+00	3	19369	4.45532200189160633e+09	9.648879097506692	4	0.6284968000340303	0
0	22206	1251674235.136118	9.097491312666795	1	1.02852362899156269e+00	1	18516	2.06168561999489933e+08	8.314222441786153	4	0.7832688708806419	0
1	39423	1544376298.6734579	9.188753127946628	4	1.14743397909988287e+00	1	19533	2.06006606690757811e+08	8.313881148540661	5	0.8748719794059667	0
0	29853	1547904436.2049673	9.189744144906326	1	1.00091783903640508e+00	1	36488	2.04196062446057618e+08	8.310047363243365	2	0.8796967816629611	0
1	24094	2081202917.1081347	9.318314425951213	1	1.15223186067854422e+00	0	5453	1.95999327968095511e+08	8.292254582273577	7	1.0260598436776363	0
3	27816	3004813917.7979207	9.477817582170427	1	1.07219954866689071e+00	1	25482	1.92134596384094596e+08	8.283605572388492	2	1.1942120097819355	0
0	25999	3647550241.9243536	9.56200128264643	1	1.01775570349708078e+00	0	7609	1.53225456846824765e+08	8.185330924889602	2	1.3766703577568276	0
3	11451	4070482207.544031	9.609645860741336	1	1.08540937683985539e+00	1	34822	1.51981677961760402e+08	8.181791235051877	3	1.4278546256894593	0
1	45346	4733464938.467877	9.675179164576598	3	1.53772536984066632e+00	2	48430	1.34046432688193366e+08	8.127255260807168	5	1.54792390376943	0
0	39133	7409731634.764387	9.869802479011511	1	1.46392995049493457e+00	3	36415	1.17457488325221986e+08	8.069880709786702	6	1.7999217692248095	0
1	39319	9956447512.91584	9.998104408629814	2	1.45828200341776992e+00	0	29301	1.06789179031157091e+08	8.02852724777541	4	1.9695771608544046	0
1	9258	12484413426.497284	10.096368142072235	1	1.00468798127491321e+00	1	2509	1.04411086244022116e+08	8.018746613982197	5	2.077621528090038	0
0	42124	17649463863.972996	10.246731517403472	5	1.16011131887751917e+00	2	45827	1.01972715968953103e+08	8.008483986573696	2	2.238247530829776	0
3	10470	21196788779.768238	10.326270072208915	2	1.84374928362926926e+00	3	20766	9.33047246331820041e+07	7.969903635495363	5	2.356366436713552	0
0	2776	22094031720.868343	10.34427497319868	1	1.00627450990416678e+00	0	33616	8.30562561206550151e+07	7.919372350771141	2	2.4249026224275383	0
